"","Human.GBM...peri.tumor.astrocytes","Human.GBM...peri.tumor.astrocytes.1","Human.GBM...peri.tumor.astrocytes.2","Human.GBM...peri.tumor.astrocytes.3","Human.sclerotic.hippocampi.astrocytes","Human.sclerotic.hippocampi.astrocytes.1","Human.sclerotic.hippocampi.astrocytes.2","Human.sclerotic.hippocampi.astrocytes.3","Human.fetal.astrocytes","Human.fetal.astrocytes.1","Human.fetal.astrocytes.2","Human.fetal.astrocytes.3","Human.fetal.astrocytes.4","Human.fetal.astrocytes.5","Human.mature.astrocytes","Human.mature.astrocytes.1","Human.mature.astrocytes.2","Human.mature.astrocytes.3","Human.mature.astrocytes.4","Human.mature.astrocytes.5","Human.mature.astrocytes.6","Human.mature.astrocytes.7","Human.mature.astrocytes.8","Human.mature.astrocytes.9","Human.mature.astrocytes.10","Human.mature.astrocytes.11","Human.Neurons","Human.Oligodendrocytes","Human.Oligodendrocytes.1","Human.Oligodendrocytes.2","Human.Oligodendrocytes.3","Human.Oligodendrocytes.4","Human.Microglia.Macrophage","Human.Microglia.Macrophage.1","Human.Microglia.Macrophage.2","Human.Endothelial","Human.Endothelial.1","Human.whole.cortex","Human.whole.cortex.1","Human.whole.cortex.2","Human.whole.cortex.3","Mouse.astrocytes.FACS","Mouse.astrocytes.FACS.1","Mouse.astrocytes.immunopanned","Mouse.astrocytes.immunopanned.1","Mouse.astrocytes.immunopanned.2","Mouse.astrocytes.immunopanned.3","Mouse.neurons","Mouse.neurons.1","Mouse.oligodendrocytes","Mouse.oligodendrocytes.1","Mouse.oligodendrocytes.2","Mouse.oligodendrocytes.3","Mouse.oligodendrocytes.4","Mouse.oligodendrocytes.5","Mouse.microglia","Mouse.microglia.1","Mouse.endothelial","Mouse.endothelial.1","Mouse.whole.brain","Mouse.whole.brain.1","Mouse.whole.brain.2"
"Human.GBM...peri.tumor.astrocytes",0,0.697475974370276,0.716833359900494,0.581227163698071,0.544235308945353,0.299996807287475,0.690709551501702,0.70901026442564,0.6632556271277,0.694962035266667,0.640664687517551,0.644805872651039,0.673921741993119,0.647096100617493,0.239463469143405,0.323285279111984,0.2957234935413,0.315311175773897,0.254510579836594,0.322275304823167,0.292805911233195,0.407858571828348,0.31818290387212,0.360519903352468,0.27661569897778,0.302116965701142,0.654067543663531,0.686599846728273,0.686880232593265,0.642619609116815,0.498367198556507,0.594896920641383,0.886949544066302,0.895964044338671,0.924038850286364,0.652704887273302,0.574395664785577,0.366518686086533,0.460049133963622,0.33931693169331,0.406566128629257,0.515807275432194,0.66067035335615,0.604286006147958,0.608621335196607,0.578063973599439,0.0769437119663298,0.823072042115905,0.813943889114735,0.00795840154521299,0.646473703948211,0.531185870368951,0.46463300087154,0.44556529187268,0.380097998360872,0.145550803423499,0.217599841398841,0.724045136270853,0.912298475297917,0.706313459320818,0.673432005445091,0.772481483085583
"Human.GBM...peri.tumor.astrocytes.1",0.697475974370276,0,0.16884766210928,0.356619487794832,0.627116184328614,0.514321774331041,0.462712053188701,0.611358391541715,0.489674856738429,0.426725448667636,0.380972017947444,0.336447375351311,0.482663426167148,0.323825974252448,0.628792535953418,0.779831433847028,0.693510960243152,0.717178116692337,0.569969541697512,0.731713628820659,0.460353408166733,0.580004794606349,0.709577829139783,0.700705288008132,0.602332336021757,0.579023120413618,0.519776896621336,0.374039516317728,0.558761846831695,0.579941079720018,0.520785227095016,0.575398222754201,0.578853618531559,0.586896031027969,0.717124613236383,0.362216972069064,0.412007485421022,0.703387645455104,0.860379938926003,0.700550743915261,0.839198624660796,0.608621335196607,0.646473703948211,0.953818867405044,0.65646338181235,0.690234820161747,0.696845834264799,0.429895156859237,0.0940050785294825,0.546564465305707,0.46463300087154,0.734470311122124,0.715781084376838,0.754758177685402,0.753792256340297,0.567304702263066,0.584533517343143,0.161865391089539,0.183669685118813,0.0509817400373478,0.523237380325099,0.397161510103332
"Human.GBM...peri.tumor.astrocytes.2",0.716833359900494,0.16884766210928,0,0.327703744030232,0.598338996529146,0.527398901619026,0.463859655895416,0.576587880185991,0.513885231947259,0.443994065744746,0.424089177819474,0.343137018758916,0.512979748109469,0.329518330715489,0.648916977533632,0.745517582480855,0.667366400906563,0.678968189750607,0.602671045690795,0.691952624555965,0.463480140032121,0.552982327455862,0.668655485436792,0.650068229257929,0.608373704433523,0.581360096598308,0.521636366007968,0.375242305806252,0.559348341181197,0.588523628283969,0.517061343848946,0.567568845081425,0.531526143894823,0.589222083619773,0.713923493746041,0.408427546760921,0.427463801151694,0.660401513396869,0.808107977743782,0.653348443466099,0.788332814888839,0.578063973599439,0.620216463946563,0.791803428303757,0.706313459320818,0.762481683932372,0.836084349925712,0.233374257590606,0.033920373474195,0.538615975261856,0.515807275432194,0.641789783070482,0.894951608665378,0.672304847409544,0.654958015764582,0.599590597780053,0.631800105206343,0.177639807281305,0.412831645116776,0.397161510103332,0.483700709870399,0.143709651001276
"Human.GBM...peri.tumor.astrocytes.3",0.581227163698071,0.356619487794832,0.327703744030232,0,0.545593190820606,0.540724103719042,0.57283631051652,0.562006849539735,0.479534768101993,0.424060693312075,0.428096658258668,0.349885760967675,0.47051551023661,0.402728670394133,0.579532452799353,0.605382339521153,0.560779438800254,0.582021669182307,0.544861459977383,0.581459776857063,0.532277061625207,0.485230889477663,0.557271882600698,0.530667485218004,0.553307456154257,0.533543224351377,0.513332064723073,0.655765229166895,0.632985352838588,0.655973662002396,0.612952191339038,0.711431341461267,0.714698580406039,0.810059734306097,0.854551782285214,0.631467563501559,0.531976162813232,0.543757166409686,0.67568406165327,0.517438193374813,0.652891284146911,0.608621335196607,0.472939254050035,0.685138919854945,0.636484026084073,0.673432005445091,0.71140935962762,0.508060245829792,0.475112189100151,0.599590597780053,0.546564465305707,0.646473703948211,0.573811765954882,0.834799975890941,0.813943889114735,0.730098586372906,0.738736578842666,0.35409082647913,0.217599841398841,0.127935234809511,0.145550803423499,0.0509817400373478
"Human.sclerotic.hippocampi.astrocytes",0.544235308945353,0.627116184328614,0.598338996529146,0.545593190820606,0,0.382651629899922,0.227173577560227,0.0562094605301314,0.670851929603254,0.629818925968299,0.62605654364212,0.580191835787335,0.65941660380856,0.598269811663027,0.476771891619883,0.507405264451966,0.459672541536661,0.46805504460024,0.470547005818205,0.471501362663309,0.41083606753071,0.49646016525153,0.443283183360542,0.442650702385046,0.413014396961209,0.399787947885771,0.568642486232853,0.455800444513862,0.192237672987339,0.19890679599529,0.402203282515798,0.340396140367949,0.731699386159901,0.801672829226857,0.851015374340395,0.675969724484886,0.635777300287597,0.56465134149462,0.776606749935522,0.611897001827988,0.751927063000675,0.560188115630295,0.46463300087154,0.431899354115636,0.573811765954882,0.244974522843463,0.523237380325099,0.608621335196607,0.5887857249877,0.762481683932372,0.724045136270853,0.100686312509142,0.183669685118813,0.475112189100151,0.300708973152765,0.803944089961524,0.843064027784956,0.679550867413332,0.701941734571601,0.66067035335615,0.642123943319181,0.800931581304927
"Human.sclerotic.hippocampi.astrocytes.1",0.299996807287475,0.514321774331041,0.527398901619026,0.540724103719042,0.382651629899922,0,0.376601920014583,0.513820511226864,0.589276053297062,0.528543761216604,0.499801708712038,0.483873915276321,0.590706336177161,0.479981770687617,0.266372718771422,0.294236262029068,0.261234080919071,0.274579178330404,0.189080758092585,0.27415584433449,0.117085241637887,0.268678826825507,0.255186571304768,0.229971768301528,0.166768191803248,0.14468066209855,0.461921875588043,0.332821696807805,0.458537217220553,0.440921338008647,0.316833141757099,0.424573940718468,0.51008701330795,0.468203368083154,0.522546192545018,0.435997971297354,0.411146373767287,0.510927145819092,0.720462718656315,0.487656368940965,0.670137513676594,0.553681051938478,0.75315953786741,0.183669685118813,0.613316743564512,0.599590597780053,0.00795840154521299,0.781803629150546,0.953818867405044,0.508060245829792,0.715781084376838,0.475112189100151,0.429895156859237,0.273334291708143,0.217599841398841,0.286756110916971,0.560188115630295,0.636484026084073,0.679550867413332,0.853431216558252,0.66067035335615,0.714577511214834
"Human.sclerotic.hippocampi.astrocytes.2",0.690709551501702,0.462712053188701,0.463859655895416,0.57283631051652,0.227173577560227,0.376601920014583,0,0.149144427834573,0.630165155316251,0.600406911470873,0.553191648679795,0.523912683250922,0.624803039922213,0.503154606605691,0.677982392186326,0.783759500588096,0.718686509740412,0.736382187967348,0.615397118346827,0.749111447506696,0.482178654309683,0.606206642150492,0.714614915606756,0.704000752526896,0.598951965427024,0.563570928669279,0.585663876546298,0.191515240211466,0.16792357897076,0.1873739117793,0.19542267973939,0.296221149628579,0.527613521823061,0.479968490126927,0.559188661212961,0.457874187266636,0.508733872451454,0.663512336366562,0.862307658166349,0.725233160129718,0.846206311514617,0.791803428303757,0.912298475297917,0.75315953786741,0.669154665172521,0.853431216558252,0.65646338181235,0.44556529187268,0.538615975261856,0.646473703948211,0.0509817400373478,0.217599841398841,0.300708973152765,0.499753992651297,0.448962865858096,0.595255268731404,0.680861579582375,0.608621335196607,0.715781084376838,0.423310833345387,0.00795840154521299,0.567304702263066
"Human.sclerotic.hippocampi.astrocytes.3",0.70901026442564,0.611358391541715,0.576587880185991,0.562006849539735,0.0562094605301314,0.513820511226864,0.149144427834573,0,0.663116221944136,0.635431552650529,0.612708421059771,0.574057322791306,0.650860160481466,0.583462714649922,0.70840754416851,0.749273742088389,0.692404849880744,0.704291853700138,0.678184980610324,0.71306578909112,0.58398848649364,0.641841852710098,0.670126440402255,0.663698175799305,0.626750148475261,0.598341765161211,0.59921266816058,0.390284171428678,0.124235030498024,0.142096907645051,0.328083654597388,0.291936836655368,0.701288792889141,0.771803829997335,0.828119714230736,0.65548635439446,0.636586801772867,0.602473586022903,0.801089991163424,0.683520761902982,0.791753032749057,0.715781084376838,0.531185870368951,0.624900384824292,0.652113621183319,0.431899354115636,0.636484026084073,0.456044480101291,0.560188115630295,0.706313459320818,0.762481683932372,0.0849118963173761,0.143709651001276,0.300708973152765,0.177639807281305,0.813943889114735,0.853489202636227,0.673432005445091,0.781803629150546,0.546564465305707,0.492006963048895,0.611185726530009
"Human.fetal.astrocytes",0.6632556271277,0.489674856738429,0.513885231947259,0.479534768101993,0.670851929603254,0.589276053297062,0.630165155316251,0.663116221944136,0,0.177291905061941,0.159109395551799,0.157014001336411,0.0806955540427873,0.179110797894491,0.706403370557028,0.790400739030698,0.716113525801825,0.760306683071016,0.692382672234461,0.756528048867677,0.637538365603545,0.684012844374965,0.732309188164869,0.70412672493196,0.695931099827477,0.664273334424942,0.515973608352757,0.618448323582763,0.66359014873913,0.666422895622716,0.595563028390239,0.673222118353078,0.738217016863112,0.761667790647276,0.822848899472026,0.490286665912132,0.44244006714839,0.542482314828189,0.639458371634037,0.549842794299312,0.628636091623571,0.642123943319181,0.624900384824292,0.800931581304927,0.762481683932372,0.715781084376838,0.853431216558252,0.0940050785294825,0.161865391089539,0.578063973599439,0.217599841398841,0.669154665172521,0.652113621183319,0.862811348701189,0.691257781823186,0.5887857249877,0.531185870368951,0.508060245829792,0.429895156859237,0.033920373474195,0.380097998360872,0.475112189100151
"Human.fetal.astrocytes.1",0.694962035266667,0.426725448667636,0.443994065744746,0.424060693312075,0.629818925968299,0.528543761216604,0.600406911470873,0.635431552650529,0.177291905061941,0,0.109343561106267,0.0795372502482373,0.139562112817638,0.092793779772486,0.672181193242926,0.740873424696384,0.638062220863457,0.685463496076615,0.662556608280165,0.685381492777555,0.576172640965321,0.621430034264834,0.641928774322747,0.61095722331374,0.657163602011382,0.608403416501134,0.446089033915325,0.560268659666297,0.636060016183602,0.645219095338215,0.572633898888361,0.647763860554289,0.644459730094747,0.71331714407377,0.7974933937824,0.470329866013269,0.439961270438381,0.541032676863602,0.656412487395158,0.541635613858674,0.657250580323525,0.65646338181235,0.326716145034507,0.685138919854945,0.715781084376838,0.584533517343143,0.679550867413332,0.161865391089539,0.35409082647913,0.620216463946563,0.412831645116776,0.800931581304927,0.742734363016139,0.894951608665378,0.853431216558252,0.631800105206343,0.595255268731404,0.553681051938478,0.499753992651297,0.143709651001276,0.531185870368951,0.0685973086513355
"Human.fetal.astrocytes.2",0.640664687517551,0.380972017947444,0.424089177819474,0.428096658258668,0.62605654364212,0.499801708712038,0.553191648679795,0.612708421059771,0.159109395551799,0.109343561106267,0,0.0940294311091812,0.111203372555398,0.0903315097865023,0.693593293320631,0.773769864082479,0.683450049094101,0.729820337400062,0.650342654964137,0.731706463483133,0.544487336907432,0.622809971498613,0.689459615988857,0.657186217607898,0.645745172865352,0.591230050738112,0.414651208984078,0.47412545764646,0.56653797651363,0.572196514783285,0.499900433262531,0.567635464319757,0.644562449305514,0.660269343569521,0.764030101903338,0.36940828432065,0.305108233124737,0.479317234932872,0.597502562769372,0.486066164002851,0.590258674086973,0.696845834264799,0.595255268731404,0.724045136270853,0.836084349925712,0.679550867413332,0.781803629150546,0.412831645116776,0.46463300087154,0.650680675492012,0.110873868246358,0.652113621183319,0.546564465305707,0.853489202636227,0.725002686066104,0.546564465305707,0.608621335196607,0.499753992651297,0.2012852537328,0.380097998360872,0.0769437119663298,0.033920373474195
"Human.fetal.astrocytes.3",0.644805872651039,0.336447375351311,0.343137018758916,0.349885760967675,0.580191835787335,0.483873915276321,0.523912683250922,0.574057322791306,0.157014001336411,0.0795372502482373,0.0940294311091812,0,0.136672988549896,0.0671893789092246,0.633862559665821,0.709594084602938,0.616130862754796,0.659437111461968,0.603925926828703,0.657626901206163,0.51259681233433,0.555705193528906,0.622146691626976,0.585748988182144,0.591706058643151,0.556094356623495,0.400668866777062,0.492842624813927,0.580861005747852,0.590280809994731,0.515954936745968,0.601176071310389,0.602451289992998,0.670482534100124,0.762337292878333,0.419450857525596,0.393057308720829,0.499352010173855,0.641008858459271,0.502288629764048,0.630153944466114,0.636484026084073,0.613316743564512,0.701941734571601,0.800931581304927,0.685138919854945,0.715781084376838,0.35409082647913,0.448962865858096,0.531185870368951,0.2012852537328,0.75315953786741,0.646473703948211,0.843064027784956,0.823072042115905,0.573811765954882,0.5887857249877,0.491165471881048,0.386824473235034,0.11162064714347,0.127935234809511,0.00795840154521299
"Human.fetal.astrocytes.4",0.673921741993119,0.482663426167148,0.512979748109469,0.47051551023661,0.65941660380856,0.590706336177161,0.624803039922213,0.650860160481466,0.0806955540427873,0.139562112817638,0.111203372555398,0.136672988549896,0,0.156528496656782,0.711381280027411,0.777308905282805,0.693511543929395,0.738685910848403,0.710020942506139,0.732112430730696,0.649332058244963,0.685981146830196,0.697808902758071,0.670332706739619,0.705953109450973,0.670820781369784,0.500437727896279,0.627253313201165,0.671244731972092,0.674236151754892,0.602260198035668,0.681360027405577,0.704561533294078,0.753132367569976,0.824604522645225,0.51817167218715,0.449647474979793,0.514898753893747,0.613055242486829,0.52431276880618,0.612026454806017,0.71140935962762,0.499753992651297,0.762481683932372,0.853431216558252,0.642123943319181,0.791803428303757,0.00795840154521299,0.11162064714347,0.673432005445091,0.127935234809511,0.65646338181235,0.608621335196607,0.8728111478544,0.676654608038574,0.604286006147958,0.538615975261856,0.429895156859237,0.531185870368951,0.412831645116776,0.588868846391792,0.300708973152765
"Human.fetal.astrocytes.5",0.647096100617493,0.323825974252448,0.329518330715489,0.402728670394133,0.598269811663027,0.479981770687617,0.503154606605691,0.583462714649922,0.179110797894491,0.092793779772486,0.0903315097865023,0.0671893789092246,0.156528496656782,0,0.672855892350385,0.764798745447751,0.664877324899951,0.704988754264442,0.632639270653281,0.709988551147544,0.497915531255332,0.594947509072568,0.670048636362332,0.63230005316747,0.6250956332097,0.573511640932586,0.421419447790617,0.408264347761085,0.528023718643708,0.544087756637466,0.462271405644893,0.534402217860012,0.575489433428147,0.622660633135414,0.740647242075502,0.349563389479119,0.340962347684835,0.492324199990961,0.606309964768331,0.50031321622739,0.599003186368333,0.620216463946563,0.564440323274852,0.696845834264799,0.772481483085583,0.65646338181235,0.724045136270853,0.145550803423499,0.233374257590606,0.604286006147958,0.508060245829792,0.791803428303757,0.669154665172521,0.88193930085557,0.836084349925712,0.636484026084073,0.567304702263066,0.412831645116776,0.286756110916971,0.00795840154521299,0.475112189100151,0.127935234809511
"Human.mature.astrocytes",0.239463469143405,0.628792535953418,0.648916977533632,0.579532452799353,0.476771891619883,0.266372718771422,0.677982392186326,0.70840754416851,0.706403370557028,0.672181193242926,0.693593293320631,0.633862559665821,0.711381280027411,0.672855892350385,0,0.129236215757458,0.0769592582125712,0.123386955515546,0.0810890677293021,0.0935423795152086,0.15881309903685,0.291908181949556,0.133487705921232,0.166633646970401,0.106278241352364,0.149125064195711,0.624101727686501,0.753646910457056,0.798228857540513,0.800477712735113,0.727347960373388,0.813655042462418,0.825295011179285,0.861305872689424,0.900633316652541,0.732868022247267,0.685136152114675,0.646974917331304,0.805842886210183,0.571943297494648,0.749729574786013,0.00795840154521299,0.642123943319181,0.11162064714347,0.412831645116776,0.177639807281305,0.584533517343143,0.65646338181235,0.531185870368951,0.233374257590606,0.491165471881048,0.730098586372906,0.71140935962762,0.819744298393309,0.794621943896561,0.326716145034507,0.448962865858096,0.696845834264799,0.772481483085583,0.679550867413332,0.611185726530009,0.624900384824292
"Human.mature.astrocytes.1",0.323285279111984,0.779831433847028,0.745517582480855,0.605382339521153,0.507405264451966,0.294236262029068,0.783759500588096,0.749273742088389,0.790400739030698,0.740873424696384,0.773769864082479,0.709594084602938,0.777308905282805,0.764798745447751,0.129236215757458,0,0.0499692985734774,0.0378772844209668,0.125527933448095,0.0282207505529346,0.220967460392768,0.236177912431888,0.0305966655969685,0.068072071882178,0.0910890875440397,0.104431381952954,0.640032808128321,0.854658428611875,0.869065359720026,0.869071447289706,0.795671945551815,0.873218474824316,0.835920440729129,0.914347175578389,0.931747558305625,0.841791761796442,0.731180465442111,0.58571618205662,0.718837299824735,0.46694605881016,0.668957694697556,0.0685973086513355,0.456044480101291,0.343779656776968,0.0940050785294825,0.270981694725206,0.608621335196607,0.75315953786741,0.669154665172521,0.397161510103332,0.595255268731404,0.620204976456388,0.531185870368951,0.552239625586443,0.499753992651297,0.680861579582375,0.694606544910964,0.836084349925712,0.894951608665378,0.652113621183319,0.831290755747274,0.492006963048895
"Human.mature.astrocytes.2",0.2957234935413,0.693510960243152,0.667366400906563,0.560779438800254,0.459672541536661,0.261234080919071,0.718686509740412,0.692404849880744,0.716113525801825,0.638062220863457,0.683450049094101,0.616130862754796,0.693511543929395,0.664877324899951,0.0769592582125712,0.0499692985734774,0,0.0540723341551973,0.12174990544575,0.0227972520800798,0.178080859636408,0.250804105764261,0.0373687025939634,0.0627514612545681,0.090542125970106,0.114797634803577,0.568376922305578,0.793096258066326,0.820620506990289,0.824817879312955,0.747262316481954,0.832928178771188,0.761425212378316,0.866988245948305,0.895360198029827,0.784200824502181,0.702178034904821,0.561080584988292,0.705144932629662,0.466163952859009,0.66295332419911,0.177639807281305,0.397161510103332,0.564440323274852,0.429895156859237,0.00795840154521299,0.538302457001722,0.631800105206343,0.620216463946563,0.183669685118813,0.599590597780053,0.742734363016139,0.781803629150546,0.825332350834921,0.803944089961524,0.448962865858096,0.0769437119663298,0.66067035335615,0.673432005445091,0.734470311122124,0.691257781823186,0.584533517343143
"Human.mature.astrocytes.3",0.315311175773897,0.717178116692337,0.678968189750607,0.582021669182307,0.46805504460024,0.274579178330404,0.736382187967348,0.704291853700138,0.760306683071016,0.685463496076615,0.729820337400062,0.659437111461968,0.738685910848403,0.704988754264442,0.123386955515546,0.0378772844209668,0.0540723341551973,0,0.150804932011155,0.0300766723102165,0.18520560968462,0.29389870627846,0.0160252694080487,0.0546594951941558,0.0985292755043636,0.113213204321379,0.609518219506678,0.796876735299091,0.827539719012298,0.834927926784927,0.753313502886197,0.829034314507716,0.794790211516786,0.883832696314187,0.912332690478009,0.807129376120122,0.723111676914883,0.554981363193705,0.696647728299147,0.449795986727004,0.646493365285869,0.244974522843463,0.183669685118813,0.560188115630295,0.273334291708143,0.0685973086513355,0.613316743564512,0.696845834264799,0.734470311122124,0.44556529187268,0.66067035335615,0.508060245829792,0.631800105206343,0.578026453651327,0.567304702263066,0.46463300087154,0.326716145034507,0.791803428303757,0.813943889114735,0.953818867405044,0.781609636086753,0.694606544910964
"Human.mature.astrocytes.4",0.254510579836594,0.569969541697512,0.602671045690795,0.544861459977383,0.470547005818205,0.189080758092585,0.615397118346827,0.678184980610324,0.692382672234461,0.662556608280165,0.650342654964137,0.603925926828703,0.710020942506139,0.632639270653281,0.0810890677293021,0.125527933448095,0.12174990544575,0.150804932011155,0,0.139936839485043,0.0905468304756492,0.13442706972556,0.15361811325414,0.177608653901715,0.0452568600702816,0.0622869101311706,0.553663693958026,0.625407091724876,0.697607352298697,0.703432908166128,0.632396114121537,0.71472551227232,0.788348724385334,0.782332406101685,0.844539716919693,0.610778782381054,0.560797638571249,0.625949610147095,0.804121860299125,0.527035131465009,0.745179109400756,0.033920373474195,0.894951608665378,0.0769437119663298,0.145550803423499,0.669154665172521,0.35409082647913,0.685138919854945,0.584533517343143,0.217599841398841,0.499753992651297,0.781803629150546,0.706313459320818,0.70901843138368,0.784196769045291,0.386824473235034,0.46463300087154,0.631800105206343,0.641789783070482,0.608621335196607,0.560188115630295,0.573811765954882
