,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
Human GBM / peri-tumor astrocytes,-3720.587,-2100.0679,-817.50464,-829.39575,-538.4619,-385.2528,-532.69867,-280.16916,474.45685,-1109.6702,-191.75412,135.10706,8.1452875,-34.919323,67.01366,261.84216,229.04077,32.60451,-422.3546,386.02792,-76.9549,-315.57898,351.2893,-22.720612,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0
Human GBM / peri-tumor astrocytes.1,-4381.1455,-2345.5774,-382.70633,625.5731,-102.256294,-1367.1215,-524.7315,-154.3585,-810.95935,897.998,1265.1759,-1409.6932,550.63025,495.98984,-125.66849,531.5877,1342.4065,416.29584,-238.47487,-226.7893,165.97305,-37.5286,274.17508,-160.53455,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0
Human GBM / peri-tumor astrocytes.2,-4374.198,-2394.9285,-516.20355,253.2019,-128.1301,-1301.3053,-429.42508,54.074715,-64.49278,317.91995,614.6028,-732.72864,391.0593,701.0106,-267.85672,361.78265,659.0809,-19.842422,22.834805,-181.9018,-296.0088,197.35936,-431.9729,115.18243,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
Human GBM / peri-tumor astrocytes.3,-4361.8525,-2418.636,-492.72537,-406.91348,-153.36227,-1103.1672,-281.13055,113.04235,524.1297,-55.056984,137.79239,-374.5678,430.61243,139.53195,-249.04535,646.2265,454.32996,-279.0991,556.3348,-74.780075,-521.5853,-73.84288,49.488586,235.1444,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
Human sclerotic hippocampi astrocytes,-3534.718,-2359.6248,-769.52875,-237.10884,2214.7715,928.7784,-924.1143,-74.45339,-226.6977,591.5412,-613.46124,255.78856,225.10498,26.859438,-255.88332,560.47833,-209.16875,-263.91364,115.21274,-82.459175,-67.74842,22.468246,231.04431,26.901596,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0
Human sclerotic hippocampi astrocytes.1,-3390.1897,-2171.7314,-864.40344,513.575,-705.2869,631.36707,-543.4525,-690.2551,-368.28558,-153.65305,-1.8605341,108.60118,-89.36572,-284.55615,155.12299,-46.559284,-247.81337,31.362186,-22.010891,-4.1061115,269.7719,97.7654,73.17738,-105.52151,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
Human sclerotic hippocampi astrocytes.2,-3519.172,-2181.4766,-617.1202,1465.4816,1471.0876,-370.1262,-705.4323,69.767044,-1207.5123,566.35223,-270.5244,640.9633,438.49307,310.31375,149.14507,1014.43646,-228.29703,-682.60693,121.99729,146.00401,811.1016,-168.53029,-232.63193,-48.476143,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
Human sclerotic hippocampi astrocytes.3,-3606.5994,-2405.3389,-699.9532,151.87866,2203.9973,-216.92671,-887.7987,349.2466,-144.33635,371.69232,-529.8247,357.63214,266.79385,221.1096,-341.20947,737.2889,-244.15755,-485.50958,329.49472,-47.18439,23.227873,54.163395,16.570368,12.880677,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
Human fetal astrocytes,-4376.421,-2386.48,-545.25653,-250.36694,-105.381226,-1590.4875,-221.3976,225.9941,730.7265,-379.01065,48.18761,-480.98633,254.07408,-453.16125,-24.782642,229.27324,-561.7916,-134.81364,-19.332201,-2.596487,-139.95872,-84.50861,-15.250887,100.19985,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
Human fetal astrocytes.1,-4390.6025,-2417.5193,-544.8393,-99.23155,-166.47664,-1462.1619,-236.02551,458.7943,682.8979,723.6618,345.2784,-669.57104,233.90407,-1041.4926,40.75078,-224.09734,-481.8805,-105.00008,-59.303646,-143.75908,164.37259,-165.6549,17.185892,-66.41571,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
Human fetal astrocytes.2,-4381.611,-2413.1213,-467.94214,21.551226,-89.172,-1620.6549,-330.28488,281.97174,482.35284,205.04517,219.94238,-529.0503,168.72989,-771.29065,194.15761,-214.02205,-375.7863,19.102148,-113.80223,-89.206184,41.933746,-102.72273,67.75726,5.915226,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Human fetal astrocytes.3,-4384.8374,-2365.8276,-411.5164,14.363616,-108.14601,-1464.4268,-160.58055,209.68956,388.3019,719.65625,360.99954,-667.77826,312.44577,-877.493,39.274235,-178.74495,-250.51367,-142.96843,15.023894,-290.23273,83.74223,-293.42172,197.77191,-134.57559,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0
Human fetal astrocytes.4,-4376.7783,-2422.657,-584.4935,-279.2115,-120.50908,-1549.4526,-202.6706,318.5466,845.85266,-269.44427,65.38943,-406.6827,215.07465,-371.20596,-42.650448,213.6183,-549.943,-129.977,-21.732317,-6.435578,-103.76962,-61.07484,-71.67802,118.741684,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0
Human fetal astrocytes.5,-4387.219,-2426.6738,-586.98303,68.07445,-98.16907,-1577.797,-380.08652,294.15005,381.6113,256.40115,305.70306,-506.68152,140.64822,-535.41034,65.000374,-152.40936,-286.192,-62.663895,-148.9209,-135.70432,-14.372685,-129.7312,7.8139687,-9.631119,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
Human mature astrocytes,-4299.2495,-1818.1481,-927.53314,-1253.0844,-940.23663,1205.7489,-243.31004,-865.65454,-85.63561,-109.89717,214.85855,-213.66394,108.5918,3.1029096,-18.957909,557.3581,-164.7293,232.9556,-536.67505,611.1261,-2.210077,-191.04855,304.34543,-219.62146,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
Human mature astrocytes.1,-4249.1694,-2347.8787,-1089.2526,-1715.3962,-1400.7665,2358.9014,-460.81314,-1652.0988,414.52515,95.68092,-272.67664,96.93166,-7.363567,-46.424496,-30.931334,-172.02261,87.91269,-213.3822,-19.78724,-229.3292,-30.037146,-85.42929,-134.62553,130.91093,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
Human mature astrocytes.2,-4320.2603,-2122.9868,-1048.2557,-1370.8551,-1159.626,1686.6627,-382.81516,-936.79407,456.46606,436.3109,-64.20927,85.11898,84.87772,8.061435,6.4889493,77.03815,-65.98218,72.178566,-205.91098,152.97105,2.6944325,-24.878742,131.09602,-87.29023,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
Human mature astrocytes.3,-4274.5312,-2274.1873,-1161.4692,-1481.7129,-1221.5543,1986.0145,-598.49445,-1269.6688,478.5729,351.26404,-143.47977,91.01831,-43.65609,58.30078,65.07285,86.79762,100.60896,-102.31294,-458.55692,-488.32327,46.55356,241.30574,-98.69623,120.88511,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
Human mature astrocytes.4,-4176.621,-1732.0061,-894.27576,-1029.6453,-1061.6862,1604.104,-522.3523,-1373.9359,-910.0456,-216.21904,334.55325,-341.06757,-43.20751,-233.05164,48.247295,-145.85359,112.36231,269.99533,276.03662,635.3591,151.30768,-403.5448,239.61653,63.56229,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
Human mature astrocytes.5,-4367.755,-2199.6138,-1129.5327,-1680.4098,-1441.0936,2565.4436,-387.87305,-1343.9308,397.29306,629.6055,-194.8201,130.95454,76.4266,34.697685,55.43191,-29.04973,2.0728145,-67.72266,-324.66782,-373.86835,-34.500603,-48.146854,-10.662304,-140.71573,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
Human mature astrocytes.6,-4137.139,-2190.0444,-867.9422,-347.15598,-674.8899,487.10922,-725.05585,-648.76215,-670.6308,-243.44691,258.16385,-157.98636,-96.60942,106.29775,163.88107,-130.23532,-112.08575,237.20338,-148.80887,132.4901,-21.555363,232.98633,10.912625,120.25852,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0
Human mature astrocytes.7,-4225.3184,-2239.2715,-784.4881,-628.5647,-742.8979,751.7624,-432.0028,-750.0384,-468.265,-216.48885,173.38187,-247.81071,-96.34456,-15.797007,-283.83316,-744.03577,342.88373,-106.64506,1575.4598,398.84576,88.001465,-679.0369,-318.20007,117.911644,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
Human mature astrocytes.8,-4082.1453,-2335.671,-1087.0597,-1300.0593,-1075.4354,1525.289,-539.9302,-867.90533,649.9406,356.7938,-160.5332,149.54012,-34.019646,58.722305,6.407837,-32.18564,50.495274,-92.05223,-146.70607,-357.94174,2.8246415,151.54132,-163.78307,81.95215,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Human mature astrocytes.9,-4372.2876,-2340.5308,-957.2766,-991.1177,-944.84375,1017.2644,-468.16803,-604.15216,635.3442,241.65923,-189.69757,135.03108,49.041264,172.12984,-4.651259,-63.25393,-246.28052,-144.399,62.753998,-316.67862,-196.43062,270.74924,-72.982895,121.79676,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
Human mature astrocytes.10,-4125.3906,-2170.1057,-885.51276,-962.9189,-792.6365,1111.8529,-571.774,-1063.5214,-486.83185,-295.38467,17.663267,-116.445984,-18.88874,-93.85726,94.11967,-87.3776,-124.33694,133.90308,152.16138,23.353703,-113.85676,126.058174,22.488403,-1.4933461,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
Human mature astrocytes.11,-4203.3174,-2258.0186,-881.2495,-761.56274,-682.516,810.6512,-693.96466,-892.2157,-399.40454,-264.67065,-3.295943,-52.977283,-101.85305,-136.60541,107.914925,-240.33836,-118.43235,111.54756,292.49323,-62.14924,-31.105719,224.79132,-160.90685,85.80865,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
Human Neurons,-4352.6074,-2430.4512,-538.8642,-156.50356,-180.14212,-1058.823,-126.6088,58.288433,311.78644,136.7135,-325.41272,-71.84564,-273.07162,75.1366,35.184525,-161.4617,-105.38309,702.4771,1000.2106,-128.65149,463.0828,1068.6838,759.7285,-345.4951,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
Human Oligodendrocytes,-2933.8813,-2344.5686,-742.9432,2259.074,559.1097,-920.21606,-1350.9298,153.3081,-1703.6752,369.39075,509.96964,212.72838,-246.39372,330.62103,250.70592,-465.59805,-43.931137,184.6772,-324.96173,20.10595,117.16575,202.752,-378.2535,175.06937,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0
Human Oligodendrocytes.1,-2686.3276,-2429.6086,-663.34546,910.3417,2323.6897,-665.96246,-1631.9698,405.27155,-1342.2756,319.22018,-388.2635,600.75525,-13.877482,-131.20227,85.85493,89.87356,-154.08667,-0.120953314,182.08131,14.410552,-602.68896,135.47891,61.844284,78.50878,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
Human Oligodendrocytes.2,-1228.8536,-2366.9382,-665.8708,1713.4883,3493.6155,-221.38823,-1982.0452,391.11267,-1935.15,653.7212,-578.3458,772.61084,-157.04163,-585.0288,199.22342,-245.05531,215.40129,199.29218,-47.63301,-47.423088,-576.28107,-184.91795,345.39667,-67.12167,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
