,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
Human Oligodendrocytes.3,-2431.5708,-2359.7017,-740.4457,671.5819,450.43643,-1198.4559,-1106.2839,262.16733,-809.2422,-218.78821,-149.91269,831.66956,-14.786181,9.046479,203.22275,145.63828,121.83641,-217.21973,-82.655716,-55.9113,772.4683,-164.93404,-190.73192,-286.45227,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
Human Oligodendrocytes.4,-1398.1084,-2409.201,-805.12555,1042.9315,1655.1062,-898.74255,-1651.3651,405.6557,-921.7231,-105.98965,-112.98616,351.8538,-295.951,-112.55068,80.27241,-595.7191,223.45123,359.18695,-380.64603,-43.230373,-440.16684,51.144417,-196.9184,-59.022022,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
Human Microglia/Macrophage,-4416.764,-2299.0625,-892.5324,2869.2637,-747.328,-290.48007,-134.34286,600.0567,937.8061,606.21466,455.7184,54.51338,-387.3961,1688.294,-601.51385,-647.2117,-572.25696,-771.9872,29.7986,-67.01613,-243.99883,-270.77637,605.95996,-92.75854,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
Human Microglia/Macrophage.1,-4453.447,-1908.9614,-990.31396,7822.3384,-1305.6304,703.6688,495.24988,-83.51219,-169.332,97.13106,604.1074,-320.12534,-379.00766,634.7249,-109.84104,-693.5377,-393.07498,-1.1254871,-375.9433,91.57682,203.10645,-137.3607,37.48556,-44.820934,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Human Microglia/Macrophage.2,-4451.239,-1534.9745,-1010.6842,11999.53,-2138.4822,2423.5742,2138.1694,7.7612123,825.99396,-500.437,-444.62518,89.60175,-221.29173,-911.22314,43.75995,707.7921,418.46603,134.65036,228.85738,-57.330105,-149.2523,118.276054,-103.727295,72.71906,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
Human Endothelial,-4283.5737,-2385.696,-434.42175,459.3162,-154.6225,-1515.6556,-942.5037,103.72038,-133.22304,-646.84125,369.16428,-279.79434,64.450676,228.45023,162.70105,-316.63104,-194.18254,259.92264,-219.70343,270.17676,378.5959,283.27188,-454.5302,154.56908,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0
Human Endothelial.1,-4137.1553,-2397.9553,-470.2398,-36.389038,-201.90112,-1387.7898,-611.6931,128.06013,417.36035,-825.703,93.33448,-272.41046,133.72748,237.13579,-52.87913,-10.745473,-325.32327,57.451527,37.441265,214.41614,-117.58504,317.5398,-380.77466,245.08823,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0
Human whole cortex,-4099.4385,-2468.0325,-761.5736,-510.1657,-137.47339,-1244.2296,-410.046,336.17532,979.67456,-922.9863,-357.13748,183.77939,-116.03644,229.80093,-39.77241,111.092,108.54024,-44.31919,57.569218,14.879201,-22.013067,199.7736,14.185774,45.48915,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Human whole cortex.1,-4372.7427,-2506.9417,-885.6017,-583.4508,-252.62619,-1319.3002,-693.3225,632.3629,1462.0829,-1044.3381,-587.83887,751.328,-221.79684,11.985187,250.63422,-347.91068,798.95355,-11.599103,-207.29022,-166.48259,175.81537,-322.19,156.08183,-68.06781,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
Human whole cortex.2,-4328.2627,-2473.014,-779.6705,-572.42865,-283.83652,-1091.5195,-471.37735,231.83502,1004.0055,-889.38385,-351.99347,254.12996,-130.55151,174.19582,10.93944,-22.683556,250.46301,-49.215775,94.14672,-13.619756,45.865517,104.34459,-2.3059716,77.144424,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0
Human whole cortex.3,-4367.238,-2499.8586,-857.2282,-596.2133,-260.91776,-1254.9899,-645.78613,465.62772,1292.4996,-1130.7952,-532.7484,612.74603,-192.50417,42.087463,194.92107,-239.37498,665.08344,-30.729933,-199.89227,-146.91425,114.07969,-248.75206,129.24857,-61.333008,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
Mouse astrocytes-FACS,-4233.458,-2268.6653,-771.7937,-623.1303,-558.9606,-43.9774,-478.0878,-375.96613,245.32288,-229.83649,38.80165,-147.32002,48.840324,-61.478455,13.768616,1.1737366,-73.81708,14.068327,33.09468,64.61047,-30.18103,4.3196716,-27.005753,67.68552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse astrocytes-FACS.1,-4193.951,-2254.4143,-890.4581,-823.95026,-730.1886,471.76318,-488.09674,-539.7881,319.2256,-201.57031,-82.13784,26.40393,-20.8068,-67.926384,42.307507,-60.861603,31.846634,1.2197418,-13.153809,2.2722168,21.44265,-44.80101,20.789368,15.564095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse astrocytes-immunopanned,-4234.809,-2191.0496,-891.8613,263.4431,-851.6476,690.7964,-281.10815,-581.3992,212.07886,-99.80878,-8.116043,-75.98604,-22.473068,-80.06292,13.348351,-28.828644,-69.84285,3.7583542,15.521301,0.62597656,-2.4468517,-3.858429,-15.584869,32.414276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse astrocytes-immunopanned.1,-4185.6626,-2199.169,-877.3838,-174.3667,-818.47577,645.8507,-344.08606,-599.5366,246.05566,-214.25415,-58.527527,-41.510895,-3.4614563,-74.91781,16.297115,26.02353,-40.69362,11.450623,22.51884,32.854523,-21.610542,9.594198,-19.324112,46.25528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse astrocytes-immunopanned.2,-4216.8174,-2173.7263,-888.80945,270.07666,-873.18494,736.6013,-294.3531,-602.4053,166.25146,-30.284912,22.735306,-93.967285,-19.589724,-142.71973,33.804718,-65.34168,-51.114426,16.549164,-15.076965,7.9867554,17.307793,-35.765778,9.863907,15.031708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse astrocytes-immunopanned.3,-4177.121,-2157.996,-923.5416,305.17493,-928.131,889.3812,-307.2444,-659.37476,202.4148,-184.61145,-47.411255,-0.8257446,-45.613388,-1.3037338,31.520447,7.11541,-24.3387,33.295708,-81.109,19.93634,-4.076519,48.84131,3.1184387,30.190643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse neurons,-4289.4507,-2382.1016,-639.21204,-248.90125,-269.1917,-998.95544,-454.37817,66.63385,426.71866,-214.11469,77.19299,-227.03162,91.0061,-80.39136,26.253296,2.6756897,45.005188,34.098816,16.959656,-48.395554,4.6060505,53.2247,22.261871,27.828243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse neurons.1,-4309.691,-2385.6035,-642.6124,-255.57745,-281.90042,-924.1002,-456.3318,27.466187,378.65417,-173.40036,87.6637,-239.60927,89.6543,-83.33826,27.608627,-14.785278,27.336273,39.163757,45.685444,-66.52928,2.7609558,75.30655,5.8217926,28.88961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse oligodendrocytes,-4272.0664,-2315.8013,-668.1923,-361.4358,-379.13235,-617.0866,-440.98682,-134.47867,267.6001,-110.64215,157.90833,-303.89258,134.10367,-90.986435,6.298828,67.464,-40.679928,23.04332,-42.213,13.079407,-38.711464,23.844133,-7.0946045,36.15277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse oligodendrocytes.1,-4294.6157,-2305.3645,-667.0287,-351.70306,-371.09735,-631.2315,-449.35083,-135.67795,231.23282,-134.59233,167.07104,-303.8158,119.45874,-107.39514,15.339233,38.273148,-0.94563293,40.596252,-20.425735,34.03421,-11.7728195,-6.5292206,-2.566681,31.310425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse oligodendrocytes.2,-3903.625,-2259.956,-771.7439,1003.64343,53.543945,113.647705,-428.68433,-160.53325,19.075073,140.38663,-79.53674,-30.94403,41.26145,-237.0251,12.841614,38.93402,-184.89398,-44.44162,16.240402,-71.596214,-80.48021,10.74562,35.536285,14.9982605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse oligodendrocytes.3,-4278.326,-2305.23,-653.32745,1162.6724,-233.1189,-723.3241,-183.36426,123.55774,408.7836,-78.27417,85.75244,-289.01794,104.125595,-180.78131,-32.329834,80.2525,-110.32532,-52.302094,15.971863,-41.644196,-60.9886,9.6286955,-24.804249,60.48941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse oligodendrocytes.4,-4270.2188,-2285.6323,-710.29736,697.39075,-508.83032,-378.98315,-230.65689,-110.04146,325.3763,-83.23389,66.64662,-225.17876,49.375954,-149.91351,8.255798,6.0678177,-117.69696,19.3226,70.20309,-43.87323,-22.64621,94.25657,7.4746246,27.412262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse oligodendrocytes.5,-4265.6797,-2285.171,-706.20825,707.6965,-510.15515,-389.70068,-256.31082,-107.55917,321.9398,-131.47198,54.374695,-202.53204,33.045517,-173.54153,29.783669,-27.852867,-160.36015,33.31085,58.076187,-21.269306,11.084045,98.5522,6.3467712,29.38153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse microglia,-4266.7607,-2283.3945,-705.07526,728.18164,-507.55457,-401.8249,-271.45172,-107.76986,303.12585,-122.41167,101.37549,-235.57622,66.2522,-142.24783,14.631592,-1.6906738,-122.13694,-2.8051453,9.207396,-23.931808,-26.870567,54.98597,-53.23831,52.415466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse microglia.1,-4270.213,-2285.6328,-710.29736,697.3906,-508.8305,-378.98325,-230.65686,-110.04146,325.3763,-83.23393,66.64661,-225.17877,49.375977,-149.9135,8.255768,6.06781,-117.696976,19.322601,70.2031,-43.87323,-22.646217,94.25658,7.4746227,27.412243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse endothelial,-4244.5547,-2278.405,-766.07227,581.6522,-617.63354,-61.285828,-301.65857,-267.1942,302.78912,-171.95383,44.401085,-156.38513,36.865406,-45.683655,9.404175,8.241058,-78.59683,-5.678423,3.0967255,-31.595768,-40.636925,81.24541,-78.90663,73.10817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse endothelial.1,-4245.087,-2276.95,-760.83887,569.71045,-616.63434,-69.44208,-288.2162,-259.4135,325.42886,-151.86702,31.720924,-153.13762,32.934753,-124.60883,24.760727,-18.785336,-124.07656,-11.8347225,2.7061691,-37.012318,-21.64938,56.70635,-47.41939,60.620274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse whole brain,-4267.6743,-2344.5713,-684.76636,-391.2992,-377.19855,-634.1794,-456.4746,-97.69855,353.6416,-217.4114,65.938416,-204.47797,86.700165,-114.62654,9.084587,-36.15384,-49.165436,-16.287964,65.322876,6.4591064,-36.79555,-11.11647,-45.468204,57.989517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse whole brain.1,-4258.593,-2325.669,-676.7683,-377.1023,-372.98477,-618.1404,-457.98047,-139.58093,266.76044,-279.3853,52.34198,-195.90103,54.94712,-70.85074,10.894196,-44.166687,-21.42331,33.976685,142.39597,31.333893,-14.429378,31.667175,-2.9150467,51.57818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouse whole brain.2,-4267.6743,-2344.5713,-684.76624,-391.29913,-377.1985,-634.1794,-456.47437,-97.69855,353.64166,-217.41144,65.938354,-204.47795,86.70016,-114.62654,9.084595,-36.15384,-49.165405,-16.288025,65.32289,6.4591064,-36.795555,-11.11647,-45.46821,57.989517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
