,0,1,2,3,4,5,6,7,8,9
Human GBM / peri-tumor astrocytes,1.3278546,4.078063,2.0590158,1.4327106,2.8249638,2.660346,2.6407146,0.40632516,-0.31247643,-0.45395792
Human GBM / peri-tumor astrocytes.1,-1.0946398,-0.7883003,0.47116023,2.255968,-3.6719406,-0.8584862,0.16193664,2.2441843,-0.5823841,-2.3514726
Human GBM / peri-tumor astrocytes.2,-1.3033311,-0.79425716,0.6249482,1.7318811,-3.3892777,-0.28932497,0.88417774,2.232195,-0.72488904,-2.322991
Human GBM / peri-tumor astrocytes.3,-1.681922,-0.9785409,1.1347136,1.5437376,-2.7229,-0.48136157,1.7880232,2.1035438,-0.7072294,-2.2826982
Human sclerotic hippocampi astrocytes,2.1797314,1.216147,-1.0447893,-0.8737943,0.023140967,0.7558537,1.4698384,1.2532485,2.8944633,-1.5338254
Human sclerotic hippocampi astrocytes.1,2.0591881,2.6849742,0.21562827,0.70861995,-0.77365535,1.5383042,2.5068421,2.0075996,2.1107986,0.8470727
Human sclerotic hippocampi astrocytes.2,2.1119382,1.3238775,-1.215378,-0.78522074,-1.5992522,1.1181462,-0.47600913,2.314196,2.8336873,-1.3794578
Human sclerotic hippocampi astrocytes.3,1.2532966,0.44345406,-0.99161315,-1.7769576,-1.2428614,0.8731668,0.77942,1.9433198,2.2961836,-1.834281
Human fetal astrocytes,-2.0676003,-4.0823174,2.591592,1.3111492,0.66486126,2.06998,-3.121624,1.444453,-4.152441,-2.5098696
Human fetal astrocytes.1,-3.4270139,-4.700919,0.8906476,2.1683328,0.79552156,0.79232407,-0.17088807,2.3355026,-2.6177466,-0.8618443
Human fetal astrocytes.2,-3.3201587,-3.7322094,1.5324118,1.1780635,-0.54937714,1.0920721,-1.1562918,2.1003358,-3.6665056,-1.9506978
Human fetal astrocytes.3,-2.88591,-4.4736657,0.99509615,2.960896,0.4306305,0.14136216,-0.39994693,1.6817017,-2.2940903,-1.5383931
Human fetal astrocytes.4,-2.7564926,-4.3693566,2.9029915,0.0025227107,0.7455787,2.634574,-3.8427806,2.3011496,-4.170435,-2.703788
Human fetal astrocytes.5,-3.0292075,-4.817847,1.0060167,1.4508243,-0.5067328,1.2701253,-0.93955123,2.6627157,-2.5330184,-1.5063047
Human mature astrocytes,2.0214214,1.897813,1.7815254,2.8236566,2.1095717,0.36587816,2.4777915,0.102642775,2.5111616,0.040018275
Human mature astrocytes.1,1.2696872,1.5624813,2.1415653,1.8813841,2.0195959,0.51976526,3.7528915,0.70572215,2.17635,0.27096573
Human mature astrocytes.2,1.4492521,1.5711707,2.0251508,1.9162391,1.9935105,0.6129045,3.6589475,0.778073,2.168743,0.34194186
Human mature astrocytes.3,0.8463207,1.7541419,1.8892622,1.0191933,1.5881312,0.83676755,3.6787252,0.8705391,2.3536272,0.13962945
Human mature astrocytes.4,2.1744976,2.8941855,1.303108,2.409728,1.1637621,0.4297657,2.6050453,1.0511973,3.0499532,1.2940435
Human mature astrocytes.5,1.4716341,1.4078627,2.02659,1.8886813,1.7383444,0.36973554,3.5813603,0.8812637,2.553928,0.1489254
Human mature astrocytes.6,1.6202879,3.0590487,1.0951173,0.9667152,0.68090564,0.81234056,3.1123624,1.6509457,2.6951208,1.7037216
Human mature astrocytes.7,1.0931976,2.026249,1.4221253,0.92987144,0.772127,0.5692285,3.7580113,1.6323569,2.514873,1.1810367
Human mature astrocytes.8,1.0423839,1.5398706,1.6728759,0.9047831,1.5278692,0.8133874,3.8198004,1.010318,2.2011056,0.18451819
Human mature astrocytes.9,1.3547485,1.6520092,1.6340435,1.232247,0.7784105,0.65241766,4.018777,1.6885045,1.9028747,0.98581886
Human mature astrocytes.10,1.6122005,2.544809,1.1768603,1.3609188,0.97346514,0.42149252,3.2582994,1.3773489,2.75863,1.3714803
Human mature astrocytes.11,1.3132713,2.6730554,1.1223657,0.6544076,0.77805847,0.69798076,3.319933,1.5509732,2.4279685,1.4465241
Human Neurons,-3.052373,1.2052841,2.3337922,-1.3789302,-0.3959568,-1.5486591,1.4982897,1.1750019,-0.351473,2.2253737
Human Oligodendrocytes,1.5350955,1.7674325,-0.8970084,-2.1770985,-2.688871,1.3743589,0.07994521,3.1070654,1.5415614,0.13149375
Human Oligodendrocytes.1,1.2784891,0.50860155,-1.5201619,-3.7193165,-1.5233879,0.8664447,0.4357344,2.5548954,1.1565287,-0.57909596
Human Oligodendrocytes.2,1.4886224,0.7881553,-1.6622996,-3.2939289,-1.7524774,0.75181,-0.025893092,2.5788853,1.6610184,-0.4163276
Human Oligodendrocytes.3,0.7259169,0.9346095,-0.878944,-1.9307219,-1.8909366,0.6668676,0.5663351,2.1083007,1.9790816,-0.738366
Human Oligodendrocytes.4,0.9197877,1.0754391,-1.1968129,-3.934363,-1.6986465,1.1480597,0.70523226,2.556543,0.89068115,-0.17514513
Human Microglia/Macrophage,1.811563,0.21219695,1.0713644,-0.834368,-4.4819717,2.9142272,0.54623693,5.124368,-0.9182625,0.17185321
Human Microglia/Macrophage.1,2.9411054,0.6681867,0.35109836,-0.2415843,-4.9469767,2.9901204,-0.44545865,5.50291,-0.7309301,0.38518032
Human Microglia/Macrophage.2,3.149598,0.6160641,0.20644122,-0.26402354,-4.8964863,3.0030801,-0.5146736,5.5827765,-0.46475348,0.50842416
Human Endothelial,-0.64983547,0.07612884,2.1860132,-1.4228448,-3.4415452,0.6696878,-0.28248274,3.1453044,-4.527723,-0.2604893
Human Endothelial.1,-1.2883188,-0.35376146,2.7532547,-1.5392221,-3.2857175,0.60784566,-0.25004476,3.0970423,-5.1765127,-0.53135276
Human whole cortex,-2.892698,1.3582346,3.390951,-1.988184,0.7263736,0.30537248,1.7274274,0.64443916,-1.7204189,0.8519219
Human whole cortex.1,-3.209045,0.96907234,4.875717,-2.0533323,0.9322322,0.9486454,2.6199298,1.3076205,-1.9288833,0.57172775
Human whole cortex.2,-2.876572,1.374051,3.581753,-1.5999829,0.75659186,0.30225396,2.1280713,0.6943583,-1.534359,0.8196225
Human whole cortex.3,-3.0706456,1.0827931,4.5364366,-1.7037764,0.95204633,0.8235274,2.6005478,1.0684235,-1.6510044,0.5517379
Mouse astrocytes-FACS,1.0086837,-1.6470014,3.1221805,0.5252352,5.9098706,0.6995946,0.53400725,1.0037732,0.9293318,1.0257301
Mouse astrocytes-FACS.1,0.8821493,-1.4259328,3.187331,0.34149376,5.9722404,0.8092813,0.79887724,1.0444505,0.8649497,1.1975018
Mouse astrocytes-immunopanned,1.621311,-0.04328361,1.6724937,-0.044773072,5.8889904,0.96179956,-0.1774584,1.1243727,2.1095674,1.9679219
Mouse astrocytes-immunopanned.1,1.7179196,1.1884508,1.2849507,-0.41392276,5.264065,1.3131748,-0.87671673,0.9201787,2.1479142,2.2251954
Mouse astrocytes-immunopanned.2,1.875932,-0.5159372,1.9635131,0.27927816,6.1312647,0.7905774,-0.22309965,1.0564351,1.9873815,1.6183906
Mouse astrocytes-immunopanned.3,1.8157759,0.7106,1.3498728,-0.41155982,5.617477,1.2340344,-0.601526,1.0347202,2.2285945,2.1738153
Mouse neurons,-3.0038457,-0.97572696,4.234264,-0.17321075,1.387223,-2.6665313,-4.0505342,0.8267301,-2.2228467,0.62033427
Mouse neurons.1,-2.8008306,-1.3865105,4.395529,-0.31744227,1.5509069,-2.588685,-3.9240007,0.83665484,-1.8950787,0.4602076
Mouse oligodendrocytes,0.20487928,-3.5936258,4.45113,-0.3735494,1.5748572,-2.252047,-5.3165355,1.2944818,1.5473102,-2.3562045
Mouse oligodendrocytes.1,0.08178246,-2.8271983,3.5987232,0.17477104,1.280822,-2.7374413,-5.299202,0.94117457,1.1791809,-2.3744733
Mouse oligodendrocytes.2,0.7664173,-3.177133,0.6726642,-1.2267809,1.3395088,-2.7027125,-4.4793334,0.56051546,0.40268633,-2.732912
Mouse oligodendrocytes.3,0.8676776,-2.9157228,0.51847583,-0.7697612,1.21123,-2.8783767,-4.8976135,0.4971525,0.07663423,-2.7167368
Mouse oligodendrocytes.4,2.1491284,-1.009817,-1.2191097,-2.8597155,0.87128407,-1.8895816,-4.772388,0.32669097,-1.52818,-1.3188472
Mouse oligodendrocytes.5,1.6288114,-0.94392645,-0.563985,-2.4841275,1.0635736,-1.9069397,-4.5816293,0.20875317,-1.1849589,-1.1390911
Mouse microglia,3.4272075,0.13339588,3.2331536,1.3913149,-3.056306,0.6816944,-5.924478,2.7066429,-0.94265914,-0.7811136
Mouse microglia.1,3.4308336,0.5298705,3.0941732,1.4560647,-2.9151866,0.49009776,-6.115271,2.1648684,-1.046309,-0.8926276
Mouse endothelial,2.8061318,-4.625263,3.8925178,1.0182315,-2.3656633,-3.5382752,-3.0169353,3.3549087,-4.6213827,1.082411
Mouse endothelial.1,2.9012678,-4.5930085,3.8397014,1.0569047,-2.3774676,-3.665284,-3.046883,3.3436768,-4.565537,1.1466426
Mouse whole brain,-1.1949522,-2.3589585,5.4753737,-1.0464209,1.2187982,-2.2156303,-4.5117397,0.91582876,-1.61793,0.0010857433
Mouse whole brain.1,-1.1037505,-2.0699344,5.493033,-1.1967382,1.3239446,-2.195958,-4.5305505,0.7598955,-1.5412881,0.15717742
Mouse whole brain.2,-1.1136317,-2.4167032,5.5020094,-1.0949851,1.2293391,-2.2687485,-4.417604,0.91331357,-1.5945201,0.031769097
